alignment model score count replica lf domain
HD natural 0 200641 0 100 0
HD natural 100 1272847 0 100 0
HD natural 200 3996674 0 100 0
HD natural 300 8325746 0 100 0
HD natural 400 12934121 0 100 0
HD natural 500 15960356 0 100 0
HD natural 600 16320658 0 100 0
HD natural 700 14226471 0 100 0
HD natural 800 10788746 0 100 0
HD natural 900 7229468 0 100 0
HD natural 1000 4341566 0 100 0
HD natural 1100 2352332 0 100 0
HD natural 1200 1163605 0 100 0
HD natural 1300 529862 0 100 0
HD natural 1400 222687 0 100 0
HD natural 1500 86607 0 100 0
HD natural 1600 31583 0 100 0
HD natural 1700 10772 0 100 0
HD natural 1800 3602 0 100 0
HD natural 1900 1092 0 100 0
HD natural 2000 329 0 100 0
HD natural 2100 92 0 100 0
HD natural 2200 38 0 100 0
HD natural 2300 17 0 100 0
HD natural 2400 17 0 100 0
HD natural 2500 8 0 100 0
HD natural 2600 4 0 100 0
HD natural 2700 10 0 100 0
HD natural 2800 1 0 100 0
HD natural 2900 5 0 100 0
HD natural 3000 4 0 100 0
HD natural 3100 5 0 100 0
HD natural 3200 5 0 100 0
HD natural 3300 2 0 100 0
HD natural 3400 2 0 100 0
HD natural 3500 1 0 100 0
HD natural 3600 5 0 100 0
HD natural 3800 1 0 100 0
HD natural 3900 4 0 100 0
HD natural 4000 2 0 100 0
HD natural 4200 1 0 100 0
HD natural 4500 1 0 100 0
HD natural 4600 1 0 100 0
HD natural 4800 1 0 100 0
HD natural 5000 1 0 100 0
HD natural 5600 1 0 100 0
HD natural 5700 2 0 100 0
HD natural 5900 1 0 100 0
HD natural 6500 1 0 100 0
HD natural 8200 1 0 100 0
HD natural 8700 1 0 100 0
HD G_model 0 189645 0 100 0
HD G_model 100 1217307 0 100 0
HD G_model 200 3884327 0 100 0
HD G_model 300 8191963 0 100 0
HD G_model 400 12853879 0 100 0
HD G_model 500 15994129 0 100 0
HD G_model 600 16448584 0 100 0
HD G_model 700 14378110 0 100 0
HD G_model 800 10899986 0 100 0
HD G_model 900 7285834 0 100 0
HD G_model 1000 4344203 0 100 0
HD G_model 1100 2333894 0 100 0
HD G_model 1200 1139842 0 100 0
HD G_model 1300 508814 0 100 0
HD G_model 1400 208844 0 100 0
HD G_model 1500 79342 0 100 0
HD G_model 1600 27950 0 100 0
HD G_model 1700 9240 0 100 0
HD G_model 1800 2936 0 100 0
HD G_model 1900 840 0 100 0
HD G_model 2000 243 0 100 0
HD G_model 2100 70 0 100 0
HD G_model 2200 14 0 100 0
HD G_model 2300 4 0 100 0
HD P_model 0 198512 0 100 0
HD P_model 100 1261058 0 100 0
HD P_model 200 3982130 0 100 0
HD P_model 300 8309957 0 100 0
HD P_model 400 12933144 0 100 0
HD P_model 500 15994270 0 100 0
HD P_model 600 16364881 0 100 0
HD P_model 700 14273862 0 100 0
HD P_model 800 10799091 0 100 0
HD P_model 900 7220669 0 100 0
HD P_model 1000 4319995 0 100 0
HD P_model 1100 2332687 0 100 0
HD P_model 1200 1147653 0 100 0
HD P_model 1300 518662 0 100 0
HD P_model 1400 215831 0 100 0
HD P_model 1500 82597 0 100 0
HD P_model 1600 30312 0 100 0
HD P_model 1700 10143 0 100 0
HD P_model 1800 3224 0 100 0
HD P_model 1900 960 0 100 0
HD P_model 2000 264 0 100 0
HD P_model 2100 71 0 100 0
HD P_model 2200 19 0 100 0
HD P_model 2300 5 0 100 0
HD P_model 2400 2 0 100 0
HD P_model 2500 1 0 100 0
HD F_model 0 198909 0 100 0
HD F_model 100 1265500 0 100 0
HD F_model 200 3980785 0 100 0
HD F_model 300 8313876 0 100 0
HD F_model 400 12923373 0 100 0
HD F_model 500 15973397 0 100 0
HD F_model 600 16349921 0 100 0
HD F_model 700 14249179 0 100 0
HD F_model 800 10802220 0 100 0
HD F_model 900 7230123 0 100 0
HD F_model 1000 4334265 0 100 0
HD F_model 1100 2347783 0 100 0
HD F_model 1200 1157964 0 100 0
HD F_model 1300 523215 0 100 0
HD F_model 1400 218796 0 100 0
HD F_model 1500 85107 0 100 0
HD F_model 1600 30506 0 100 0
HD F_model 1700 10295 0 100 0
HD F_model 1800 3398 0 100 0
HD F_model 1900 991 0 100 0
HD F_model 2000 288 0 100 0
HD F_model 2100 79 0 100 0
HD F_model 2200 20 0 100 0
HD F_model 2300 10 0 100 0
HD T_model 0 179300 0 100 0
HD T_model 100 1169249 0 100 0
HD T_model 200 3774940 0 100 0
HD T_model 300 8053748 0 100 0
HD T_model 400 12748438 0 100 0
HD T_model 500 15984866 0 100 0
HD T_model 600 16531467 0 100 0
HD T_model 700 14502203 0 100 0
HD T_model 800 11014382 0 100 0
HD T_model 900 7358162 0 100 0
HD T_model 1000 4380982 0 100 0
HD T_model 1100 2344412 0 100 0
HD T_model 1200 1135094 0 100 0
HD T_model 1300 503213 0 100 0
HD T_model 1400 204642 0 100 0
HD T_model 1500 76481 0 100 0
