alignment	batch1	batch2	Analogous	Unassigned	same_X	same_HX	HH_Homologs	same_HH	Prob	relationships
ali	0	1	154388	58666	5947	3264	452	385	50	219453
ali2	0	1	161888	53278	5725	3239	551	468	50	221442
ali3	0	1	478	162	21	12	2	2	50	663
ali	1	2	180861	65510	7073	3626	485	392	50	253929
ali2	1	2	156963	55100	6951	3294	439	369	50	219453
ali3	1	2	472	172	16	7	3	3	50	663
ali	2	3	169541	45862	6907	3268	468	405	50	222778
ali2	2	3	188066	57794	7846	3582	468	404	50	254174
ali3	2	3	494	149	25	10	0	0	50	668
ali	3	4	171921	50896	6896	3440	413	355	50	230126
ali2	3	4	167389	48508	6463	3303	418	364	50	222778
ali3	3	4	496	150	21	7	1	1	50	668
ali	4	5	156310	48409	6511	3373	345	295	50	211575
ali2	4	5	165760	57151	6464	3377	428	375	50	229803
ali3	4	5	485	152	14	8	0	0	50	651
ali	5	6	158256	56460	6872	2915	403	355	50	221991
ali2	5	6	153185	50973	7011	3332	406	332	50	211575
ali3	5	6	469	164	18	8	0	0	50	651
ali	6	7	167683	63025	7035	3506	376	296	50	238119
ali2	6	7	155221	59613	6840	2861	437	355	50	222111
ali3	6	7	470	174	23	7	0	0	50	667
ali	7	8	167424	62384	6742	3341	466	401	50	237016
ali2	7	8	165459	65997	6544	3395	394	328	50	238394
ali3	7	8	485	188	15	7	1	1	50	689
ali	8	9	154275	62921	6482	2791	437	375	50	224115
ali2	8	9	166991	62178	7141	3270	535	449	50	236845
ali3	8	9	467	187	12	8	4	4	50	670
ali	9	0	159358	55794	5843	2985	450	388	50	221445
ali2	9	0	159383	58485	5793	2974	448	398	50	224109
ali3	9	0	484	170	9	4	3	3	50	666
ali	0	1	125043	88794	5358	2889	258	239	90	219453
ali2	0	1	128799	87383	4962	2759	298	280	90	221442
ali3	0	1	385	260	18	12	0	0	90	663
ali	1	2	145369	102148	6134	3055	278	260	90	253929
ali2	1	2	121733	91392	6074	2885	254	238	90	219453
ali3	1	2	376	270	14	6	3	2	90	663
ali	2	3	133614	82998	5889	2813	277	264	90	222778
ali2	2	3	152579	94670	6658	2944	267	255	90	254174
ali3	2	3	388	256	24	10	0	0	90	668
ali	3	4	134122	90049	5716	2787	239	223	90	230126
ali2	3	4	132447	84588	5507	2848	236	222	90	222778
ali3	3	4	392	258	17	6	1	1	90	668
ali	4	5	124178	81778	5433	2859	186	174	90	211575
ali2	4	5	132875	91149	5543	2905	236	228	90	229803
ali3	4	5	387	251	13	7	0	0	90	651
ali	5	6	127222	88590	5950	2546	229	221	90	221991
ali2	5	6	123114	82235	5999	2854	227	218	90	211575
ali3	5	6	370	265	16	7	0	0	90	651
ali	6	7	130739	101158	6037	2810	185	171	90	238119
ali2	6	7	121076	94809	6009	2454	217	199	90	222111
ali3	6	7	363	282	22	7	0	0	90	667
ali	7	8	131250	99603	5900	2846	263	246	90	237016
ali2	7	8	125835	106833	5496	2775	230	211	90	238394
ali3	7	8	370	303	15	7	1	1	90	689
ali	8	9	120912	97386	5570	2403	247	228	90	224115
ali2	8	9	131277	99218	6025	2817	325	294	90	236845
ali3	8	9	362	295	11	8	2	2	90	670
ali	9	10	127755	88473	4975	2560	242	222	90	221445
ali2	9	10	131551	87094	5182	2593	282	263	90	224109
ali3	9	10	389	267	8	4	2	2	90	666

