# list of considered genomes \\
# containing 4098 genomes of which 1307 were selected as representants of one genus \\
genus & phylum & fasta \\
Abiotrophia & Firmicutes & UP000019050\_592010.fasta \\
Acaryochloris & Cyanobacteria & UP000000268\_329726.fasta \\
Accumulibacter & Betaproteobacteria & UP000001619\_522306.fasta \\
Acetivibrio & Firmicutes & UP000054874\_290052.fasta \\
Acetoanaerobium & Firmicutes & UP000007041\_499177.fasta \\
Acetobacterium & Firmicutes & UP000007177\_931626.fasta \\
Acetobacterium & Firmicutes & UP000036873\_52689.fasta \\
Acetobacterium & Firmicutes & UP000176244\_52694.fasta \\
Acetobacter & Firmicutes & UP000000948\_634452.fasta \\
Acetobacter & Firmicutes & UP000004319\_749388.fasta \\
Acetobacter & Firmicutes & UP000017992\_1262684.fasta \\
Acetobacter & Firmicutes & UP000018259\_1262685.fasta \\
Acetobacter & Firmicutes & UP000032666\_1231343.fasta \\
Acetobacter & Firmicutes & UP000032670\_1231341.fasta \\
Acetobacter & Firmicutes & UP000032676\_1231342.fasta \\
Acetobacter & Firmicutes & UP000032677\_887700.fasta \\
Acetohalobium & Firmicutes & UP000001661\_574087.fasta \\
Acetomicrobium & Synergistaceae & UP000006061\_891968.fasta \\
Acetonema & Firmicutes & UP000003240\_1009370.fasta \\
Acholeplasma & Tenericutes & UP000008558\_441768.fasta \\
Acholeplasma & Tenericutes & UP000017930\_1262686.fasta \\
Acholeplasma & Tenericutes & UP000032434\_35623.fasta \\
Acholeplasma & Tenericutes & UP000032737\_61635.fasta \\
Acholeplasma & Tenericutes & UP000032740\_1318466.fasta \\
Achromatium & Gammaproteobacteria & UP000036736\_1604834.fasta \\
Achromatium & Gammaproteobacteria & UP000036918\_1604836.fasta \\
Achromatium & Gammaproteobacteria & UP000037003\_1604835.fasta \\
Achromobacter & Betaproteobacteria & UP000004510\_742159.fasta \\
Achromobacter & Betaproteobacteria & UP000053133\_1688405.fasta \\
Acidaminococcus & Firmicutes & UP000001902\_591001.fasta \\
Acidaminococcus & Firmicutes & UP000007093\_568816.fasta \\
Acidaminococcus & Firmicutes & UP000018048\_1262688.fasta \\
Acidibacillus & Firmicutes & UP000053557\_1765683.fasta \\
Acidiferrobacter & Gammaproteobacteria & UP000094370\_163359.fasta \\
Acidihalobacter & Gammaproteobacteria & UP000029273\_160660.fasta \\
Acidimicrobium & Actinobacteria & UP000000771\_525909.fasta \\
Acidimicrobium & Actinobacteria & UP000050870\_1655564.fasta \\
Acidimicrobium & Actinobacteria & UP000051003\_1655575.fasta \\
Acidimicrobium & Actinobacteria & UP000051421\_1655566.fasta \\
Acidiphilium & Alphaproteobacteria & UP000000245\_349163.fasta \\
Acidiphilium & Alphaproteobacteria & UP000018053\_1262689.fasta \\
Acidipropionibacterium & Actinobacteria & UP000000214\_1171373.fasta \\
Acidisphaera & Alphaproteobacteria & UP000032680\_1231350.fasta \\
Acidithiobacillus & Acidithiobacillia & UP000001362\_243159.fasta \\
Acidithiobacillus & Acidithiobacillia & UP000003197\_872330.fasta \\
Acidithiobacillus & Acidithiobacillia & UP000006135\_990288.fasta \\
Acidithiobacillus & Acidithiobacillia & UP000094893\_930.fasta \\
