genus	id
Abiotrophia	UP000019050_592010.fasta
Acaryochloris	UP000000268_329726.fasta
Accumulibacter	UP000001619_522306.fasta
Acetivibrio	UP000054874_290052.fasta
Acetoanaerobium	UP000007041_499177.fasta
Acetobacterium	UP000007177_931626.fasta
Acetobacter	UP000000948_634452.fasta
Acetohalobium	UP000001661_574087.fasta
Acetomicrobium	UP000006061_891968.fasta
Acetonema	UP000003240_1009370.fasta
Acholeplasma	UP000008558_441768.fasta
Achromatium	UP000036736_1604834.fasta
Achromobacter	UP000004510_742159.fasta
Acidaminococcus	UP000001902_591001.fasta
Acidibacillus	UP000053557_1765683.fasta
Acidiferrobacter	UP000094370_163359.fasta
Acidihalobacter	UP000029273_160660.fasta
Acidimicrobium	UP000000771_525909.fasta
Acidiphilium	UP000000245_349163.fasta
Acidipropionibacterium	UP000000214_1171373.fasta
Acidisphaera	UP000032680_1231350.fasta
Acidithiobacillus	UP000001362_243159.fasta
Acidithrix	UP000032360_1280514.fasta
Acidobacterium	UP000002207_240015.fasta
Acidocella	UP000006217_1214225.fasta
Acidomonas	UP000019760_1231351.fasta
Acidothermus	UP000008221_351607.fasta
Acidovorax	UP000000645_232721.fasta
Acinetobacter	UP000000430_62977.fasta
Actibacterium	UP000024836_1461693.fasta
Actinoalloteichus	UP000095210_340345.fasta
Actinobacillus	UP000001114_339671.fasta
Actinobaculum	UP000009888_883066.fasta
Actinokineospora	UP000019277_909613.fasta
Actinomyces	UP000002941_1125718.fasta
Actinoplanes	UP000005440_134676.fasta
Actinopolyspora	UP000029737_414996.fasta
Actinospica	UP000019485_479430.fasta
Actinosynnema	UP000002213_446462.fasta
Actinotalea	UP000019753_948458.fasta
Actinotignum	UP000035032_59505.fasta
Adlercreutzia	UP000015924_1384484.fasta
Advenella	UP000005267_1036672.fasta
Aequorivita	UP000006049_746697.fasta
Aeribacillus	UP000076476_33936.fasta
Aerococcus	UP000003764_655812.fasta
Aeromicrobium	UP000003111_585531.fasta
Aeromonas	UP000000756_380703.fasta
Aestuariibacter	UP000184520_634436.fasta
Afipia	UP000018975_1429916.fasta
Agarivorans	UP000014461_1331007.fasta
Agathobacter	UP000001477_515619.fasta
Aggregatibacter	UP000002569_668336.fasta
Agreia	UP000032503_110935.fasta
Agrobacterium	UP000000813_176299.fasta
Agrococcus	UP000016462_1330458.fasta
Agromyces	UP000050813_1735688.fasta
Ahrensia	UP000003904_744979.fasta
Akkermansia	UP000001031_349741.fasta
Alcaligenes	UP000016497_1386079.fasta
Alcanivorax	UP000006286_930169.fasta
Algibacter	UP000029644_221126.fasta
Algoriphagus	UP000003919_388413.fasta
Alicycliphilus	UP000007938_596154.fasta
Alicyclobacillus	UP000001917_521098.fasta
Aliifodinibius	UP000184041_1194090.fasta
Aliiglaciecola	UP000006334_1127673.fasta
Aliiroseovarius	UP000050471_154981.fasta
Alishewanella	UP000035062_1195246.fasta
Alistipes	UP000006008_742725.fasta
Aliterella	UP000032452_1618023.fasta
Alkalibacterium	UP000020164_1229520.fasta
Alkalibacter	UP000184251_1120975.fasta
Alkalilimnicola	UP000001962_187272.fasta
Alkaliphilus	UP000000269_350688.fasta
Alloactinosynnema	UP000076116_1653480.fasta
Allochromatium	UP000001441_572477.fasta
Alloiococcus	UP000009875_883081.fasta
Allokutzneria	UP000183376_211114.fasta
Alloprevotella	UP000003460_626522.fasta
Alloscardovia	UP000016519_1321816.fasta
Altererythrobacter	UP000034392_1267766.fasta
Alteromonas	UP000000683_715451.fasta
Amantichitinum	UP000037939_857265.fasta
Aminobacterium	UP000002366_572547.fasta
Aminobacter	UP000051834_1736420.fasta
Aminomonas	UP000005096_584708.fasta
Ammonifex	UP000002620_429009.fasta
Amoebophilus	UP000001227_452471.fasta
Amphibacillus	UP000006294_698758.fasta
Amycolatopsis	UP000006138_713604.fasta
Anabaena	UP000010101_46234.fasta
Anaerobacillus	UP000035996_157733.fasta
Anaerococcus	UP000003821_655811.fasta
Anaerocolumna	UP000184386_1121322.fasta
Anaerofustis	UP000005178_445971.fasta
Anaeroglobus	UP000005481_861450.fasta
Anaerolinea	UP000008922_926569.fasta
Anaeromyxobacter	UP000001935_290397.fasta
Anaerosphaera	UP000184032_1120995.fasta
Anaerosporobacter	UP000184038_1120996.fasta
Anaerosporomusa	UP000076268_1794912.fasta
Anaerostipes	UP000008960_649756.fasta
Anaerotruncus	UP000003803_445972.fasta
Anaerovibrio	UP000030993_82374.fasta
Anaplasma	UP000001943_212042.fasta
Anditalea	UP000027821_1048983.fasta
Aneurinibacillus	UP000037269_47500.fasta
Angustibacter	UP000051170_1736539.fasta
Anoxybacillus	UP000000742_491915.fasta
Anthococcus	UP000178622_1859473.fasta
Aphanizomenon	UP000092382_1710894.fasta
Apibacter	UP000182761_1586267.fasta
Aquabacterium	UP000029993_1538295.fasta
Aquamicrobium	UP000019849_69279.fasta
Aquifex	UP000000798_224324.fasta
Aquimarina	UP000023541_1317122.fasta
Aquitalea	UP000033764_332411.fasta
Arachidicoccus	UP000078308_1850526.fasta
Arcanobacterium	UP000000376_644284.fasta
Archangium	UP000035579_48.fasta
Arcobacter	UP000000939_572480.fasta
Arcticibacter	UP000014174_1150600.fasta
Ardenticatena	UP000037784_872965.fasta
Arenibacter	UP000095208_1883406.fasta
Arenimonas	UP000029085_1121014.fasta
Arenitalea	UP000184396_1178825.fasta
Aromatoleum	UP000006552_76114.fasta
Arsenicicoccus	UP000065578_1658671.fasta
Arsenophonus	UP000069926_634113.fasta
Arsukibacterium	UP000034895_1632859.fasta
Arthrobacter	UP000000754_290399.fasta
Arthromitus	UP000001636_1029718.fasta
Arthrospira	UP000006803_696747.fasta
Asaia	UP000027583_1382230.fasta
Asticcacaulis	UP000001492_573065.fasta
Atelocyanobacterium	UP000001405_1453429.fasta
Atlantibacter	UP000010297_1115512.fasta
Atopobium	UP000000960_521095.fasta
Atopostipes	UP000184128_1121025.fasta
Aurantimonas	UP000000321_287752.fasta
Aureimonas	UP000030826_370622.fasta
Austwickia	UP000008495_1184607.fasta
Avibacterium	UP000015362_1351754.fasta
Azoarcus	UP000002588_62928.fasta
Azobacteroides	UP000000723_511995.fasta
Azorhizobium	UP000000270_438753.fasta
Azospirillum	UP000005667_862719.fasta
Azotobacter	UP000002424_322710.fasta
Bacillus	UP000000594_1392.fasta
Bacteriovorax	UP000015459_1201290.fasta
Bacteroides	UP000001414_226186.fasta
Bacteroidetes	UP000004685_575590.fasta
Balneola	UP000078514_1849360.fasta
Barnesiella	UP000018901_880074.fasta
Bartonella	UP000000643_360095.fasta
Basilea	UP000028945_1072685.fasta
Baumannia	UP000002427_374463.fasta
Bdellovibrio	UP000008080_264462.fasta
Beggiatoa	UP000003255_422289.fasta
Beijerinckia	UP000001695_395963.fasta
Belliella	UP000006050_866536.fasta
Bellilinea	UP000050514_360411.fasta
Bergeyella	UP000006085_883096.fasta
Bermanella	UP000004263_207949.fasta
Bernardetia	UP000006054_880071.fasta
Beutenbergia	UP000007962_471853.fasta
Bhargavaea	UP000011919_1235279.fasta
Bibersteinia	UP000011846_1171377.fasta
Bifidobacterium	UP000000439_206672.fasta
Bilophila	UP000006034_563192.fasta
Bizionia	UP000003730_1046627.fasta
Blastochloris	UP000065734_1079.fasta
Blastococcus	UP000007517_1146883.fasta
Blastomonas	UP000037930_1523416.fasta
Blastopirellula	UP000004358_314230.fasta
Blattabacterium	UP000007112_1075399.fasta
Blautia	UP000008955_657314.fasta
Blochmannia	UP000002192_203907.fasta
Bordetella	UP000001225_340100.fasta
Borrelia	UP000001205_314724.fasta
Bosea	UP000028622_1502851.fasta
Brachybacterium	UP000001919_446465.fasta
Brachyspira	UP000001803_565034.fasta
Bradyrhizobium	UP000001994_114615.fasta
Branchiibius	UP000075667_1807500.fasta
Brenneria	UP000002759_598467.fasta
Brevibacillus	UP000001877_358681.fasta
Brevibacterium	UP000005714_585530.fasta
Brevundimonas	UP000002696_633149.fasta
Brochothrix	UP000019242_1121126.fasta
Brucella	UP000002719_359391.fasta
Buchnera	UP000000601_224915.fasta
Bulleidia	UP000005017_679192.fasta
Burkholderia	UP000000605_272560.fasta
Buttiauxella	UP000028653_1006004.fasta
Butyricicoccus	UP000013981_1203606.fasta
Butyrivibrio	UP000001299_515622.fasta
Caballeronia	UP000027439_1071679.fasta
Caedibacter	UP000036771_1629334.fasta
Caenispirillum	UP000009881_1238182.fasta
Caldalkalibacillus	UP000010716_986075.fasta
Caldanaerobacter	UP000000555_273068.fasta
Caldanaerobius	UP000184088_1121256.fasta
Caldibacillus	UP000075683_301148.fasta
Caldicellulosiruptor	UP000000256_351627.fasta
Caldilinea	UP000007880_926550.fasta
Caldimicrobium	UP000068196_1653476.fasta
Caldisalinibacter	UP000013378_1304284.fasta
Caldisericum	UP000004793_511051.fasta
Calditerrivibrio	UP000007039_768670.fasta
Caldithrix	UP000004671_880073.fasta
Caloramator	UP000007652_857293.fasta
Caloranaerobacter	UP000029622_1156417.fasta
Calothrix	UP000010390_99598.fasta
Caminicella	UP000184082_1121266.fasta
Campylobacter	UP000000760_360106.fasta
Candidimonas	UP000184226_658167.fasta
Capnocytophaga	UP000003023_888059.fasta
Carboxydothermus	UP000002706_246194.fasta
Cardinium	UP000003996_1231626.fasta
Cardiobacterium	UP000004750_797473.fasta
Carnobacterium	UP000000212_1234679.fasta
Caryophanon	UP000093199_33978.fasta
Castellaniella	UP000019805_1437824.fasta
Catabacter	UP000034076_270498.fasta
Catellicoccus	UP000016057_1234409.fasta
Catenibacterium	UP000018308_1262767.fasta
Catenovulum	UP000019276_1328313.fasta
Catenulispora	UP000000851_479433.fasta
Catonella	UP000018227_592026.fasta
Caulobacter	UP000001316_366602.fasta
Cecembia	UP000004478_1225176.fasta
Cedecea	UP000029516_158822.fasta
Celeribacter	UP000006762_1208323.fasta
Cellulomonas	UP000000485_593907.fasta
Cellulophaga	UP000007487_867900.fasta
Cellulosilyticum	UP000008467_642492.fasta
Cellulosimicrobium	UP000028634_1523621.fasta
Cellvibrio	UP000001036_498211.fasta
Cephaloticoccus	UP000071392_1548208.fasta
Cesiribacter	UP000011910_1279009.fasta
Cetobacterium	UP000017081_1319815.fasta
Chamaesiphon	UP000010366_1173020.fasta
Chania	UP000019030_1441930.fasta
Chelativorans	UP000001820_266779.fasta
Chelatococcus	UP000065824_1702325.fasta
Chelonobacter	UP000030380_505317.fasta
Chishuiella	UP000184120_1434701.fasta
Chitinispirillum	UP000036214_1008392.fasta
Chitinivibrio	UP000017148_1313304.fasta
Chitinophaga	UP000002215_485918.fasta
Chlamydia	UP000000431_272561.fasta
Chloracidobacterium	UP000006791_981222.fasta
Chlorobium	UP000001007_194439.fasta
Chloroflexus	UP000002008_324602.fasta
Chloroherpeton	UP000001208_517418.fasta
Chondromyces	UP000019678_1192034.fasta
Christensenella	UP000070366_626937.fasta
Chromobacterium	UP000001424_243365.fasta
Chromohalobacter	UP000000239_290398.fasta
Chroococcidiopsis	UP000010384_251229.fasta
Chryseobacterium	UP000002969_525257.fasta
Chryseolinea	UP000184212_947013.fasta
Chrysosporum	UP000051809_75695.fasta
Chthoniobacter	UP000005824_497964.fasta
Chthonomonas	UP000014227_1303518.fasta
Citreicella	UP000003110_766499.fasta
Citrobacter	UP000001889_637910.fasta
Citromicrobium	UP000050479_1647104.fasta
Clavibacter	UP000001318_31964.fasta
Cloacibacillus	UP000023044_866499.fasta
Cloacibacterium	UP000095601_237258.fasta
Cloacimonas	UP000002019_459349.fasta
Clostridium	UP000000565_290402.fasta
Cnuella	UP000184368_1302690.fasta
Cobetia	UP000050261_1716176.fasta
Cohnella	UP000054526_1590652.fasta
Coleofasciculus	UP000003835_118168.fasta
Collimonas	UP000008392_1005048.fasta
Collinsella	UP000003295_521003.fasta
Colwellia	UP000000547_167879.fasta
Comamonas	UP000002360_688245.fasta
Commensalibacter	UP000005939_1088868.fasta
Conexibacter	UP000008229_469383.fasta
Congregibacter	UP000019205_314285.fasta
Coprobacillus	UP000003157_469596.fasta
Coprococcus	UP000008798_717962.fasta
Coprothermobacter	UP000001732_309798.fasta
Coraliomargarita	UP000000925_583355.fasta
Corallococcus	UP000007587_1144275.fasta
Coriobacterium	UP000006851_700015.fasta
Corynebacterium	UP000000276_681645.fasta
Coxiella	UP000002671_227377.fasta
Crenobacter	UP000076625_1452487.fasta
Criblamydia	UP000031552_1437425.fasta
Criibacterium	UP000093352_1871336.fasta
Crinalium	UP000010472_1173022.fasta
Croceibacter	UP000002297_216432.fasta
Croceicoccus	UP000035287_1348774.fasta
Croceitalea	UP000050280_1300341.fasta
Cronobacter	UP000000260_290339.fasta
Cruoricaptor	UP000184335_1118202.fasta
Cryobacterium	UP000029864_1001240.fasta
Cryptobacterium	UP000000954_469378.fasta
Cryptosporangium	UP000021053_927661.fasta
Cupriavidus	UP000002429_266264.fasta
Curtobacterium	UP000050821_1736311.fasta
Curvibacter	UP000051912_1714344.fasta
Cutibacterium	UP000016307_1160719.fasta
Cyanobacterium	UP000010480_755178.fasta
Cyanobium	UP000003950_180281.fasta
Cyanothece	UP000001203_43989.fasta
Cyclobacterium	UP000001635_880070.fasta
Cycloclasticus	UP000006282_385025.fasta
Cylindrospermum	UP000010475_56107.fasta
Cystobacter	UP000011682_1242864.fasta
Cytophaga	UP000001822_269798.fasta
Dechloromonas	UP000000550_159087.fasta
Dechlorosoma	UP000005633_640081.fasta
Deferribacter	UP000001520_639282.fasta
Defluviimonas	UP000026305_1417296.fasta
Defluviitoga	UP000032809_1006576.fasta
Dehalobacter	UP000000482_1131462.fasta
Dehalococcoides	UP000008289_243164.fasta
Dehalogenimonas	UP000002349_552811.fasta
Deinococcus	UP000002208_546414.fasta
Delftia	UP000000784_398578.fasta
Denitrobacterium	UP000077372_79604.fasta
Denitrovibrio	UP000002012_522772.fasta
Dermabacter	UP000014577_1203568.fasta
Dermacoccus	UP000027986_1274.fasta
Desertifilum	UP000095472_1781255.fasta
Desmospora	UP000004046_997346.fasta
Desulfacinum	UP000184076_1121391.fasta
Desulfarculus	UP000009047_644282.fasta
Desulfatibacillum	UP000000739_439235.fasta
Desulfatitalea	UP000033431_1629708.fasta
Desulfitibacter	UP000053015_1734395.fasta
Desulfitobacterium	UP000001946_138119.fasta
Desulfobacca	UP000000483_880072.fasta
Desulfobacterium	UP000000442_177437.fasta
Desulfobacter	UP000005778_879212.fasta
Desulfobacula	UP000007347_651182.fasta
Desulfobulbus	UP000006365_577650.fasta
Desulfocapsa	UP000011721_1167006.fasta
Desulfococcus	UP000008561_96561.fasta
Desulfofustis	UP000184139_1121409.fasta
Desulfohalobium	UP000001052_485915.fasta
Desulfomicrobium	UP000002216_525897.fasta
Desulfomonile	UP000006055_706587.fasta
Desulfonatronospira	UP000005496_555779.fasta
Desulfonauticus	UP000053839_1635258.fasta
Desulfopila	UP000184603_1121416.fasta
Desulfoplanes	UP000095200_1592317.fasta
Desulforudis	UP000008544_477974.fasta
Desulfosporosinus	UP000002892_646529.fasta
Desulfotalea	UP000000602_177439.fasta
Desulfotignum	UP000014216_1286635.fasta
Desulfotomaculum	UP000001556_349161.fasta
Desulfovibrio	UP000001361_883.fasta
Desulfurella	UP000019023_694431.fasta
Desulfuribacillus	UP000094296_766136.fasta
Desulfurispirillum	UP000002572_653733.fasta
Desulfurivibrio	UP000001508_589865.fasta
Desulfurobacterium	UP000007102_868864.fasta
Desulfuromonas	UP000005695_281689.fasta
Dethiobacter	UP000006443_555088.fasta
Dethiosulfatarculus	UP000032233_1429043.fasta
Dethiosulfatibacter	UP000184052_1121476.fasta
Dethiosulfovibrio	UP000006427_469381.fasta
Devosia	UP000028638_1502724.fasta
Dialister	UP000003277_742743.fasta
Dichelobacter	UP000000248_246195.fasta
Dickeya	UP000006859_198628.fasta
Dictyoglomus	UP000007719_515635.fasta
Dietzia	UP000004165_910954.fasta
Dinoroseobacter	UP000006833_398580.fasta
Dissulfuribacter	UP000093080_1156395.fasta
Dokdonella	UP000076830_1300342.fasta
Dokdonia	UP000008290_983548.fasta
Dolosigranulum	UP000003599_883103.fasta
Domibacillus	UP000095658_1714016.fasta
Donghicola	UP000092343_1836468.fasta
Dorea	UP000014211_1235798.fasta
